25-02-26 16:48:45: {'temps': [0.005, 0.518], 'freqs': [0.0, 0.0], 'analog': {'values': [1.133, 1.123, 0.005, 0.518], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
25-02-26 17:03:46: {'temps': [0.0, 0.518], 'freqs': [0.0, 0.0], 'analog': {'values': [1.138, 1.128, 0.0, 0.518], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
25-02-26 17:18:47: {'temps': [0.005, 0.664], 'freqs': [20.0, 0.0], 'analog': {'values': [1.133, 3.633, 0.005, 0.664], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
25-02-26 17:33:47: {'temps': [0.005, 0.596], 'freqs': [20.0, 0.0], 'analog': {'values': [1.138, 3.569, 0.005, 0.596], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
25-02-26 17:48:48: {'temps': [0.005, 0.571], 'freqs': [20.0, 0.0], 'analog': {'values': [1.133, 3.584, 0.005, 0.571], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
25-02-26 18:03:49: {'temps': [0.005, 0.542], 'freqs': [20.0, 0.0], 'analog': {'values': [1.133, 3.584, 0.005, 0.542], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
25-02-26 18:18:50: {'temps': [0.005, 0.518], 'freqs': [20.0, 0.0], 'analog': {'values': [1.133, 3.579, 0.005, 0.518], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
25-02-26 18:33:51: {'temps': [0.0, 0.508], 'freqs': [20.0, 0.0], 'analog': {'values': [1.133, 3.56, 0.0, 0.508], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
25-02-26 18:48:52: {'temps': [0.005, 0.498], 'freqs': [20.0, 0.0], 'analog': {'values': [1.133, 3.521, 0.005, 0.498], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
26-02-26 12:35:06: {'temps': [0.005, 0.732], 'freqs': [0.0, 0.0], 'analog': {'values': [1.162, 1.152, 0.005, 0.732], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
26-02-26 12:36:40: {'temps': [0.005, 0.815], 'freqs': [0.0, 0.0], 'analog': {'values': [1.157, 1.152, 0.005, 0.815], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
26-02-26 12:51:41: {'temps': [0.005, 0.732], 'freqs': [20.0, 20.0], 'analog': {'values': [3.652, 3.618, 0.005, 0.732], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
26-02-26 13:06:42: {'temps': [0.01, 0.645], 'freqs': [20.0, 20.0], 'analog': {'values': [3.608, 3.643, 0.01, 0.645], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
