04-03-26 15:27:09: {'temps': [0.38239923855747177, 0.04453546795428264], 'freqs': [-1.0, 0.0], 'analog': {'values': [1.24, 1.23, 0.0, 0.562], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 15:32:11: {'temps': [92.08801005203715, 0.044720407932066324], 'freqs': [-1.0, 5.0], 'analog': {'values': [2.651, 1.23, 0.0, 0.557], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 15:37:13: {'temps': [177.22375106362117, 0.044720407932066324], 'freqs': [-1.0, 10.0], 'analog': {'values': [3.232, 1.23, 0.0, 0.557], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 15:42:15: {'temps': [153.91779405080428, 0.04098910433542636], 'freqs': [-1.0, 15.0], 'analog': {'values': [3.594, 1.226, 0.005, 0.562], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 15:47:17: {'temps': [306.3419829382042, 0.044720407932066324], 'freqs': [-1.0, 20.0], 'analog': {'values': [3.887, 1.23, 0.0, 0.557], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 15:52:19: {'temps': [375.47010097372174, 0.04098910433542636], 'freqs': [-1.0, 25.0], 'analog': {'values': [4.18, 1.226, 0.0, 0.562], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 15:57:21: {'temps': [270.5635871304041, 0.044720407932066324], 'freqs': [-1.0, 30.0], 'analog': {'values': [4.39, 1.23, 0.005, 0.557], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:23: {'temps': [492.19824892305206, 0.04453546795428264], 'freqs': [-1.0, 35.0], 'analog': {'values': [4.619, 1.23, 0.0, 0.562], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:07:25: {'temps': [319.9113092025991, 0.04453546795428264], 'freqs': [-1.0, 40.0], 'analog': {'values': [4.673, 1.23, 0.005, 0.562], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:12:27: {'temps': [527.4390852699912, 0.04085409557787171], 'freqs': [-1.0, 45.0], 'analog': {'values': [4.741, 1.226, 0.0, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:17:29: {'temps': [537.477413878116, 0.0366960294826168], 'freqs': [-1.0, 50.0], 'analog': {'values': [4.775, 1.221, 0.0, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
