04-03-26 16:02:54: {'temps': [0.3472425406065358, 0.04098910433542636], 'freqs': [-1.0, 0.0], 'analog': {'values': [1.235, 1.226, 0.0, 0.562], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [0.3141325236630541, 0.041159317524899264], 'freqs': [-1.0, 0.0], 'analog': {'values': [1.23, 1.226, 0.0, 0.557], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [0.3141325236630541, 0.041159317524899264], 'freqs': [-1.0, 0.0], 'analog': {'values': [1.23, 1.226, 0.0, 0.557], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [50.05079575238496, 0.0366960294826168], 'freqs': [-1.0, 5.0], 'analog': {'values': [2.544, 1.221, 0.005, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [73.93506396657422, 0.0366960294826168], 'freqs': [-1.0, 5.0], 'analog': {'values': [2.495, 1.221, 0.0, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [75.03895127124976, 0.04098910433542636], 'freqs': [-1.0, 5.0], 'analog': {'values': [2.505, 1.226, 0.0, 0.562], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [78.85340480289034, 0.0366960294826168], 'freqs': [-1.0, 5.0], 'analog': {'values': [2.539, 1.221, 0.0, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [45.5589900781656, 0.0366960294826168], 'freqs': [-1.0, 5.0], 'analog': {'values': [2.48, 1.221, 0.005, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [78.28652037919798, 0.04098910433542636], 'freqs': [-1.0, 5.0], 'analog': {'values': [2.534, 1.226, 0.0, 0.562], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [82.18169500977325, 0.04085409557787171], 'freqs': [-1.0, 5.0], 'analog': {'values': [2.568, 1.226, 0.0, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [72.29458311711689, 0.04098910433542636], 'freqs': [-1.0, 5.0], 'analog': {'values': [2.48, 1.226, 0.0, 0.562], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [45.902302644493865, 0.041159317524899264], 'freqs': [-1.0, 5.0], 'analog': {'values': [2.485, 1.226, 0.005, 0.557], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [27.627071234060505, 0.040686760705917584], 'freqs': [-1.0, 5.0], 'analog': {'values': [2.471, 1.226, 0.029, 0.571], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [45.28526867280102, 0.036817297259508185], 'freqs': [-1.0, 5.0], 'analog': {'values': [2.476, 1.221, 0.005, 0.562], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [77.72168263651314, 0.04085409557787171], 'freqs': [-1.0, 5.0], 'analog': {'values': [2.529, 1.226, 0.0, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [76.15102529995526, 0.036817297259508185], 'freqs': [-1.0, 5.0], 'analog': {'values': [2.515, 1.221, 0.0, 0.562], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [44.26616519696012, 0.04098910433542636], 'freqs': [-1.0, 5.0], 'analog': {'values': [2.461, 1.226, 0.005, 0.562], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [75.59396494509873, 0.04085409557787171], 'freqs': [-1.0, 5.0], 'analog': {'values': [2.51, 1.226, 0.0, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [69.70812762644503, 0.04085409557787171], 'freqs': [-1.0, 5.0], 'analog': {'values': [2.456, 1.226, 0.0, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [43.258669817344845, 0.04098910433542636], 'freqs': [-1.0, 5.0], 'analog': {'values': [2.446, 1.226, 0.005, 0.562], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [75.03895127124976, 0.04085409557787171], 'freqs': [-1.0, 5.0], 'analog': {'values': [2.505, 1.226, 0.0, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [75.03895127124976, 0.04085409557787171], 'freqs': [-1.0, 5.0], 'analog': {'values': [2.505, 1.226, 0.0, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [71.31913626939479, 0.04453546795428264], 'freqs': [-1.0, 5.0], 'analog': {'values': [2.471, 1.23, 0.0, 0.562], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [79.42233590759014, 0.04085409557787171], 'freqs': [-1.0, 5.0], 'analog': {'values': [2.544, 1.226, 0.0, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [82.76249686431639, 0.04085409557787171], 'freqs': [-1.0, 5.0], 'analog': {'values': [2.573, 1.226, 0.0, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [71.86023251239293, 0.04085409557787171], 'freqs': [-1.0, 5.0], 'analog': {'values': [2.476, 1.226, 0.0, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [78.85340480289034, 0.04098910433542636], 'freqs': [-1.0, 5.0], 'analog': {'values': [2.539, 1.226, 0.0, 0.562], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [68.11553911256257, 0.04098910433542636], 'freqs': [-1.0, 5.0], 'analog': {'values': [2.441, 1.226, 0.0, 0.562], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [78.28652037919798, 0.041159317524899264], 'freqs': [-1.0, 5.0], 'analog': {'values': [2.534, 1.226, 0.0, 0.557], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [79.42233590759014, 0.04085409557787171], 'freqs': [-1.0, 5.0], 'analog': {'values': [2.544, 1.226, 0.0, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [77.72168263651314, 0.04453546795428264], 'freqs': [-1.0, 5.0], 'analog': {'values': [2.529, 1.23, 0.0, 0.562], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [77.72168263651314, 0.041159317524899264], 'freqs': [-1.0, 5.0], 'analog': {'values': [2.529, 1.226, 0.0, 0.557], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 16:02:54: {'temps': [98.97345763293238, 0.040686760705917584], 'freqs': [-1.0, 10.0], 'analog': {'values': [3.11, 1.226, 0.005, 0.571], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
